activity_id,activity_name,park_id
25FB188F-5AAD-459A-9092-28A9801709FF,Freshwater Fishing,34CB30BA-8A5F-4563-AA34-6633708DD9DC
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,34CB30BA-8A5F-4563-AA34-6633708DD9DC
8386EEAF-985F-4DE8-9037-CCF91975AC94,Hunting and Gathering,34CB30BA-8A5F-4563-AA34-6633708DD9DC
25559F45-F162-4B8B-BEC2-B341034A2AF4,Hunting,34CB30BA-8A5F-4563-AA34-6633708DD9DC
4D224BCA-C127-408B-AC75-A51563C42411,Paddling,34CB30BA-8A5F-4563-AA34-6633708DD9DC
DF4A35E0-7983-4A3E-BC47-F37B872B0F25,Junior Ranger Program,34CB30BA-8A5F-4563-AA34-6633708DD9DC
42CF4021-8524-428E-866A-D33097A4A764,SCUBA Diving,34CB30BA-8A5F-4563-AA34-6633708DD9DC
587BB2D3-EC35-41B2-B3F7-A39E2B088AEE,Swimming,34CB30BA-8A5F-4563-AA34-6633708DD9DC
82C3230F-6F87-452C-A01B-F8458867B26A,Freshwater Swimming,34CB30BA-8A5F-4563-AA34-6633708DD9DC
8A1C7B17-C2C6-4F7C-9539-EA1E19971D80,Water Skiing,34CB30BA-8A5F-4563-AA34-6633708DD9DC
0B685688-3405-4E2A-ABBA-E3069492EC50,Wildlife Watching,34CB30BA-8A5F-4563-AA34-6633708DD9DC
5A2C91D1-50EC-4B24-8BED-A2E11A1892DF,Birdwatching,34CB30BA-8A5F-4563-AA34-6633708DD9DC
0C0D142F-06B5-4BE1-8B44-491B90F93DEB,Park Film,34CB30BA-8A5F-4563-AA34-6633708DD9DC
24380E3F-AD9D-4E38-BF13-C8EEB21893E7,Shopping,34CB30BA-8A5F-4563-AA34-6633708DD9DC
467DC8B8-0B7D-436D-A026-80A22358F615,Bookstore and Park Store,34CB30BA-8A5F-4563-AA34-6633708DD9DC
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,9463E25C-7342-4A34-9537-4A6DA74B2B06
8D778629-F603-4C50-A121-6F4BB2FE2C4B,Road Biking,9463E25C-7342-4A34-9537-4A6DA74B2B06
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,9463E25C-7342-4A34-9537-4A6DA74B2B06
AE42B46C-E4B7-4889-A122-08FE180371AE,Fishing,9463E25C-7342-4A34-9537-4A6DA74B2B06
